id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count,availability_365
24586887,Urban oasis in Huron Village,185802542,Cynthia,West Cambridge,42.3828,-71.14176,Entire homeapt,300,87,1,54
24605964,Comfortable Room and Convenient to Subway,34926211,Quinn,East Cambridge,42.38833,-71.08337,Private room,67,258,3,15
24751989,Private stylish in central location,22604641,Emanuel,WellingtonHarrington,42.37417,-71.09767,Entire homeapt,155,210,2,191
24865433,Large 2 Bed2Bath By MGH WasherDryer in Suite,20079643,Alex  Bcohousing,East Cambridge,42.36556,-71.06973,Entire homeapt,326,14,11,332
24886707,LIVING in THE CITYCLOSE TO HARVARDMIT,15154687,John,WellingtonHarrington,42.37346,-71.09048,Private room,92,110,20,350
24887170,Private Rm near TuftsHarvardMITMGH,70969915,Carla  Steve,North Cambridge,42.39557,-71.13078,Private room,95,7,2,0
24888768,Comfortable convenient  Cambridge Apt,98988662,Jake,Cambridgeport,42.35792,-71.10938,Entire homeapt,193,227,1,2
24888817,LIVING in THE CITYCLOSE TO HARVARDMIT,15154687,John,WellingtonHarrington,42.37191,-71.09019,Private room,92,113,20,347
24894857,3 LIVING IN THE CITY CLOSE TO HARVARDMIT,15154687,John,WellingtonHarrington,42.37371,-71.09189,Private room,89,26,20,346
24910356,Elegant 2BR 2Bath Private Coolidge CornerParking,188331599,Barbara,Cambridgeport,42.345348,-71.130302,Entire homeapt,383,182,1,6
24914428,5Freedom Trail Eco French 1BRFree Parking  Deck,11410590,Nika  Tony,East Cambridge,42.37389,-71.06223,Entire homeapt,206,134,2,145
24965806,Back Bay Apartment near MIT and Newbury Street  G,51079261,Riverside,Area 2MIT,42.35013,-71.08911,Entire homeapt,230,49,25,61
24967119,Cultural District MIT Harvard 1Br Free parking,158575537,Dan And Kat,The Port,42.36599,-71.09882,Entire homeapt,339,74,1,20
24992422,Luxurious Home in Bostons Historic Charlestown,188938217,Katherine And Dan,East Cambridge,42.37708,-71.0604,Entire homeapt,299,216,1,105
25008538,Somerville One Bedroom Summer Sublet,94335661,Juan,North Cambridge,42.3949,-71.11927,Private room,52,2,1,89
25031480,Double Room at clean safe kind urban guesthouse,96423949,Jessica  Shawn,Cambridgeport,42.33938,-71.11893,Private room,180,22,9,193
25036068,Harvard Sq Studio wparking walk to HBSHLSMITBU,184906834,Janice,Riverside,42.3686,-71.11414,Entire homeapt,183,152,4,52
25106852,Top floor of Somerville single family,189776089,Nimco,North Cambridge,42.39386,-71.09967,Private room,215,77,1,14
25284439,Steps to Boston Common  Bright 1BR  Laundry,163251048,Global Luxury,Area 2MIT,42.352093,-71.060806,Entire homeapt,442,8,10,365
25374033,Lux Studio Apt in new bldg near Chinatown wgym,9419684,Churchill,Area 2MIT,42.35309,-71.06178,Entire homeapt,259,2,19,332
25476466,River Location City ViewsSafe WalkableCentral,9529655,Suzanne,Area 2MIT,42.3499,-71.09545,Entire homeapt,235,0,4,362
25520363,A true home away from home,4842537,Haim,West Cambridge,42.34736,-71.13911,Entire homeapt,300,133,1,222
25562756,a poets home enchanting 2BR with rare fireplace,36435851,Maya,North Cambridge,42.40275,-71.12384,Entire homeapt,160,32,1,177
25576444,SouthEnd Eagles Nest,34719298,Michael,Area 2MIT,42.34226,-71.07881,Entire homeapt,147,125,1,3
25687175,Sunny 2Bed Apt10 Meters from Harvard Law School,45224133,Clare,Agassiz,42.37925,-71.11994,Entire homeapt,144,4,4,90
25691658,2Bed10 Meters from Harvard Law School Big  New,45224133,Clare,Neighborhood Nine,42.37904,-71.12007,Entire homeapt,264,0,4,90
25728312,Private Bedroom at Harvard,9928124,Zayetta,MidCambridge,42.37675,-71.10975,Private room,60,10,2,276
25770647,Naturally Lit Modern Loft in Heart of Downtown,1911807,Kelly  Chris,East Cambridge,42.35529,-71.06087,Entire homeapt,425,228,1,272
25778262,Serene 2br near HarvardLesley 3fl private entry,28283338,RaeJarrod,Agassiz,42.38304,-71.11735,Entire homeapt,243,87,3,35
25822133,Garden Studio NR FenwayBUCoolidge Crnr C train,43352820,Betsy,Cambridgeport,42.343,-71.12855,Private room,175,75,2,264
26005227,Full Condo Heart of the South End,432317,Julie,Area 2MIT,42.34533,-71.07118,Entire homeapt,229,47,1,2
26127318,RIVER  CITY VIEWS LOCATION  Parking Available,9529655,Suzanne,Area 2MIT,42.35053,-71.09536,Entire homeapt,275,1,4,362
26130187,North End One bedroom Freedom Trail 1 min walk,38997,Michelle,East Cambridge,42.36636,-71.05428,Entire homeapt,135,1,11,362
26136927,Cambridge beautiful 2BR near PorterHarvard Sq,9365589,J G,Neighborhood Nine,42.38831,-71.12746,Entire homeapt,190,183,2,4
26190089,Minimalist space Private entrance  bath Parking,136163630,Jenny,WellingtonHarrington,42.37919,-71.0961,Private room,161,168,5,24
26199791,Cozy 1 bed apt CambridgeSomervilleArlington line,39765672,Karina,North Cambridge,42.40785,-71.13346,Entire homeapt,128,103,1,104
26270217,Quiet suite by Tufts airport half bath parking,35333974,Monique,North Cambridge,42.41295,-71.12549,Private room,80,178,1,95
26279756,Sunny Comfy near Tufts U 13min walk to Davis Sq T,1516601,Yuan,North Cambridge,42.40096283,-71.11354065,Private room,68,57,3,3
26333739,Classy Cozy South End Unit,119265681,Maude,Area 2MIT,42.34207,-71.069,Entire homeapt,150,49,2,263
26421466,Nice Clean Warm Smoke Free 3 in East Somerville,80080682,Maria And Jose,WellingtonHarrington,42.38746,-71.09159,Private room,93,48,2,215
26428050,LIVING in THE CITY CLOSE TO HARVARDMIT,15154687,John,WellingtonHarrington,42.37146,-71.08991,Private room,99,170,20,340
26429034,LIVING in THE CITYCLOSE TO HARVARDMIT,15154687,John,WellingtonHarrington,42.37195,-71.09204,Private room,99,126,20,329
26502467,CITY LIFE CLOSE to HARVARDMIT,15154687,John,WellingtonHarrington,42.37177,-71.08999,Private room,96,135,20,326
26502701,CLOSE to HARVARDMIT,15154687,John,WellingtonHarrington,42.37364,-71.09036,Private room,99,119,20,343
26502979,1 LIVING IN THE CITYCLOSE TO HARVARDMIT,15154687,John,WellingtonHarrington,42.37184,-71.09151,Private room,90,18,20,350
26569375,Comfortable  convenience in Porter square,119120101,Derrick,North Cambridge,42.39044,-71.12393,Entire homeapt,164,45,1,30
26634032,Experienced Host 2 Bedroom Charm Close to MIT,22812598,Caroline And David,WellingtonHarrington,42.36969,-71.09314,Entire homeapt,175,25,1,0
26688986,Charming  quiet  apt renovated 2 BR 4 blocks to T,200654508,Arielle,North Cambridge,42.3911,-71.12427,Entire homeapt,100,23,1,0
26703374,Harvard Square less than 2 miles,71156317,Eddy,Strawberry Hill,42.37511,-71.15229,Private room,87,29,1,70
26740462,Kendall sq MGHmuseum of science House with yard,10114243,Javier,East Cambridge,42.3701,-71.08056,Entire homeapt,135,1,1,273
26753806,5Bunker Hill Eco 1BR GlobetrotterFree Parking,11410590,Nika  Tony,East Cambridge,42.3729,-71.06107,Entire homeapt,197,121,2,200
26778714,The Upton Apartment  The Upton South End,5430185,Laura And Olivia,Area 2MIT,42.34291,-71.07301,Entire homeapt,261,78,7,60
26857005,2 bed 1 bath w Free Parking in East Cambridge,43450256,Steve,East Cambridge,42.36961,-71.08436,Entire homeapt,211,11,22,312
